B0,B1,B2,B3,B4,B5,B6,B7,DiffCount,Delta_from_0.5
1,3,4,8,7,2,5,6,7,-0.0166666667
7,8,4,1,2,3,5,6,8,-0.0166666667
4,8,7,2,1,3,5,6,8,-0.0166666667
7,3,4,1,2,8,5,6,8,-0.0166666667
2,3,4,8,7,1,5,6,8,-0.0166666667
4,8,7,2,3,1,5,6,8,-0.0166666667
4,2,3,8,5,7,1,6,5,-0.0166666667
8,2,4,5,3,7,1,6,7,-0.0166666667
3,2,4,5,8,7,1,6,7,-0.0166666667
3,4,2,7,8,5,1,6,8,-0.0166666667
2,4,3,8,7,5,1,6,7,-0.0166666667
8,4,7,2,3,5,1,6,8,-0.0166666667
7,4,8,3,2,5,6,1,8,-0.0166666667
8,4,7,2,3,5,6,1,8,-0.0166666667
3,4,2,7,8,5,6,1,8,-0.0166666667
3,7,4,5,8,2,6,1,8,-0.0166666667
8,7,4,5,3,2,6,1,8,-0.0166666667
4,7,8,3,5,2,6,1,7,-0.0166666667
6,5,2,7,8,4,3,1,8,-0.0166666667
2,5,8,6,7,4,3,1,8,-0.0166666667
8,5,2,7,6,4,3,1,8,-0.0166666667
